Area,Year,Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Incidence of caloric losses at retail distribution level (percent),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),water access,Percentage of population using at least basic sanitation services (percent),irrigation,Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, General Indices (2015 = 100)",Food Insecurity Rate
Thailand,2003,344.0,-50.9,2.9,11.7,38.0,39.0,7.1,95.1,93.3,70.54400000000003,-0.14,21.1,49.0,2.0,73.03028033333332,6.984999999999999
Thailand,2004,342.0,-49.2,2.87,10.4,18.0,39.9,7.3,95.5,93.5,75.96400000000003,-0.72,21.1,50.0,2.0,75.04529491666666,5.868999999999995
Thailand,2005,338.0,-46.0,2.9,8.0,18.0,40.7,7.5,95.9,93.8,90.69600000000004,-0.87,21.3,51.0,2.0,78.45262833333335,4.702999999999996
Thailand,2006,349.0,-41.7,2.83,14.5,25.0,41.5,7.7,96.3,94.1,93.98999999999998,-1.13,21.4,50.0,2.0,82.09084875,5.246999999999996
Thailand,2007,361.0,-47.6,2.89,15.1,42.0,41.9,7.9,96.7,94.4,94.459,-1.11,21.6,50.0,2.0,83.93094875000001,5.373999999999998
Thailand,2008,373.0,-50.1,2.72,16.0,41.0,41.7,8.1,97.0,94.8,95.002,-1.27,21.6,49.0,2.0,88.52070408333333,5.246999999999996
Thailand,2009,374.0,-45.7,2.69,12.2,40.0,41.2,8.3,97.4,95.1,94.494,-1.42,21.7,50.0,2.0,87.74855133333334,5.009999999999996
Thailand,2010,386.0,-43.1,2.72,12.9,50.0,40.8,8.4,97.7,95.4,95.042,-1.44,21.8,49.0,3.0,90.62646558333334,5.043999999999996
Thailand,2011,403.0,-33.3,2.73,9.5,52.0,40.0,8.6,98.0,95.7,95.053,-1.13,22.0,49.0,3.0,94.07823791666664,4.716999999999995
Thailand,2012,418.0,-29.4,2.77,9.0,31.0,39.2,8.7,98.4,96.1,95.434,-1.22,22.1,49.0,3.0,96.91460216666668,4.362999999999996
Thailand,2013,419.0,-43.7,2.73,19.0,17.0,38.4,8.8,98.7,96.4,95.488,-1.31,22.3,49.0,3.0,99.03207608333334,5.301999999999997
Thailand,2014,404.0,-57.7,2.73,18.9,13.0,38.2,8.9,99.0,96.8,95.49500000000002,-0.91,22.5,49.0,3.0,100.90887408333332,5.377999999999998
Thailand,2015,386.0,-67.8,2.73,16.9,11.0,38.2,9.0,99.0,97.1,95.487,-0.99,22.7,49.0,3.0,100.0002655,4.2
Thailand,2016,249.0,-70.6,2.73,19.9,14.0,38.2,9.1,99.0,97.5,95.515,-0.99,23.0,48.0,4.0,100.18841583333334,5.8
Thailand,2017,122.0,-74.1,2.73,28.6,13.0,38.2,9.1,99.0,97.8,95.52400000000002,-0.75,23.3,48.0,3.0,100.85530174999998,7.2
Thailand,2018,196.58,-68.1600000000001,2.73,23.896999999999988,13.0,37.04362727272723,9.2,99.0,98.1,95.589,-0.79,23.7,48.12,3.0,101.92829883333332,7.7
Thailand,2019,198.42,-68.1600000000001,2.73,23.83399999999999,13.0,37.25762727272723,9.2,99.0,98.4,95.59000000000002,-0.54,24.0,48.14,3.31,102.64865525,8.5
Thailand,2020,190.86,-69.4480000000001,2.73,23.849999999999987,13.680734126984127,37.076127272727234,9.2,99.0,98.7,95.588,-0.7185458333333336,23.555,48.11,3.17,101.78031225,7.987000000000006
Viet Nam,2000,205.83521927146924,-1.9125476190476185,2.94,4.828999999999995,51.0,57.37372727272725,2.4,80.5,51.9,35.505,0.41,27.3,68.88,4.57,33.300455916666664,8.142999999999997
Viet Nam,2001,209.0,-12.0,2.99,2.9,53.0,58.4,2.5,81.4,53.9,35.478,0.1253183333333333,25.9,69.0,5.0,33.15674958333333,8.031999999999996
Viet Nam,2002,219.0,-11.7,3.02,2.7,58.0,59.0,2.5,82.2,55.8,35.827,0.35,24.5,69.0,4.0,34.393126333333335,7.8459999999999965
Viet Nam,2003,230.0,-10.9,3.11,3.6,24.0,61.3,2.6,83.1,57.8,36.77099999999998,0.13,23.2,68.0,4.0,35.50562283333333,5.800999999999995
Viet Nam,2004,238.0,-13.1,3.15,4.0,15.0,65.9,2.8,83.9,59.7,38.46599999999999,0.15,22.0,66.0,4.0,38.259065666666665,4.723999999999994
Viet Nam,2005,245.0,-13.1,3.27,4.3,19.0,69.8,2.9,84.8,61.6,41.73199999999998,0.48,20.9,64.0,4.0,41.4286655,4.718999999999995
Viet Nam,2006,252.0,-12.5,3.25,2.9,22.0,72.5,3.0,85.6,63.6,42.41299999999998,0.4,19.9,63.0,5.0,44.50185099999999,4.721999999999994
Viet Nam,2007,260.0,-11.2,3.34,1.1,38.0,72.9,3.2,86.4,65.6,44.064000000000014,0.25,18.9,62.0,5.0,48.21528508333333,4.719999999999995
Viet Nam,2008,267.0,-10.9,3.34,1.4,40.0,73.0,3.4,87.3,67.5,45.29200000000001,0.16,18.1,61.0,6.0,59.3604645,4.562999999999996
Viet Nam,2009,273.0,-10.7,3.45,1.9,35.0,72.6,3.5,88.1,69.4,46.62900000000004,0.27,17.5,60.0,7.0,63.34769683333334,4.248999999999996
Viet Nam,2010,278.0,-11.0,3.44,1.9,15.0,72.0,3.7,88.9,71.3,47.93900000000006,0.15,17.2,60.0,8.0,69.18041458333333,3.651999999999997
Viet Nam,2011,288.0,-12.2,3.45,2.7,14.0,71.6,4.0,89.7,73.3,48.16600000000005,0.19,17.0,59.0,8.0,82.10174733333334,3.508999999999997
Viet Nam,2012,296.0,-12.6,3.58,2.8,10.0,71.6,4.2,90.4,75.2,49.09100000000004,0.27,17.0,58.0,8.0,89.56865774999999,3.463999999999997
Viet Nam,2013,302.0,-10.3,3.58,5.3,12.0,71.7,4.4,91.2,77.0,49.52000000000004,0.25,17.2,57.0,7.0,95.47362791666666,1.8310000000000008
Viet Nam,2014,304.0,-5.8,3.58,5.3,9.0,69.6,4.6,92.4,78.9,50.54800000000003,-0.02,17.5,56.0,6.0,99.37330016666664,1.848000000000001
Viet Nam,2015,303.0,0.9,3.58,5.2,10.0,67.6,4.9,93.3,80.8,50.94400000000003,0.07,18.0,55.0,6.0,100.00054558333332,1.4250000000000005
Viet Nam,2016,201.0,4.9,3.58,4.1,18.0,65.7,5.1,94.1,82.6,51.57500000000002,0.23,18.5,54.0,6.0,102.66880816666668,1.3690000000000004
Viet Nam,2017,99.0,8.3,3.58,6.7,18.0,65.8,5.3,94.8,84.3,52.07400000000003,0.29,19.1,53.0,6.0,106.283014,0.5
Viet Nam,2018,135.96,-1.0500000000000005,3.58,6.682666666666671,14.0,65.36600000000004,5.6,95.5,86.0,62.72600000000002,0.11,19.8,52.46,5.0,110.04503725,0.5
Viet Nam,2019,131.6,-1.1049999999999998,3.58,6.803666666666671,22.0,64.84300000000005,5.8,96.2,87.7,69.60300000000001,0.13,20.6,52.33,5.54,113.12170258333332,0.5
Viet Nam,2020,130.88,-1.176,3.58,6.901666666666671,18.907186913863,65.78000000000004,6.0,96.9,89.2,75.78800000000001,-0.3262453846153847,17.74,52.11,6.4,116.76527841666666,0.921
